year,office,candidate,first_name_fix,middle_name_fix,last_name_fix,suffix_fix
2008,REPRESENTATIVE IN THE GENERAL ASSEMBLY,KENYATTA JOHNSON,KENYATTA,J,JOHNSON,
2011,DISTRICT COUNCIL,KENYATTA JOHNSON,KENYATTA,J,JOHNSON,
2015,DISTRICT COUNCIL,KENYATTA JOHNSON,KENYATTA,J,JOHNSON,
2019,DISTRICT COUNCIL,KENYATTA JOHNSON,KENYATTA,J,JOHNSON,
2011,DISTRICT COUNCIL,CURTIS JONES JR,CURTIS,J,JONES,JR
2019,DISTRICT COUNCIL,CURTIS JONES JR,CURTIS,J,JONES,JR
2010,REPRESENTATIVE IN CONGRESS,JAMES JONES,JAMES,A,JONES,
2012,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MIKE JONES,MICHAEL,,JONES,
2002,REPRESENTATIVE IN THE GENERAL ASSEMBLY,WILLIAM KELLER,WILLIAM,F,KELLER,
2011,JUDGE OF THE COURT OF COMMON PLEAS,SEAN KENNEDY,SEAN,F,KENNEDY,
2015,MAYOR,JIM KENNEY,JAMES,F,KENNEY,
2019,MAYOR,JIM KENNEY,JAMES,F,KENNEY,
2008,REPRESENTATIVE IN THE GENERAL ASSEMBLY,W JAMES KERNAGHAN,JAMES,W,KERNAGHAN,III
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JAMES W KERNAGHAN III,JAMES,W,KERNAGHAN,III
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,W JAMES KERNAGHAN III,JAMES,W,KERNAGHAN,III
2007,COUNCIL AT LARGE,PHIL KERWICK,PHILIP,,KERWICK,
2005,JUDGE OF THE TRAFFIC COURT,ALBERT LITTLEPAGE,ALBERT,C,LITTLEPAGE,JR
2007,JUDGE OF THE TRAFFIC COURT,ALBERT C LITTLEPAGE JR,ALBERT,C,LITTLEPAGE,JR
2007,JUDGE OF THE SUPERIOR COURT,JIMMY LYNN,JAMES,MURRAY,LYNN,
2009,JUDGE OF THE COMMONWEALTH COURT,JIMMY LYNN,JAMES,MURRAY,LYNN,
2004,REPRESENTATIVE IN THE GENERAL ASSEMBLY,KATHY MANDERINO,KATHY,M,MANDERINO,
2006,REPRESENTATIVE IN THE GENERAL ASSEMBLY,KATHY MANDERINO,KATHY,M,MANDERINO,
2008,REPRESENTATIVE IN THE GENERAL ASSEMBLY,KATHY MANDERINO,KATHY,M,MANDERINO,
2003,JUDGE OF THE TRAFFIC COURT,MICHAEL MC ALEER,MICHAEL,,MCALEER,
2007,DISTRICT COUNCIL,SEAN PATRICK MC ALEER,SEAN,PATRICK,MCALEER,
2005,JUDGE OF THE COURT OF COMMON PLEAS,CATERIA R MC CABE,CATERIA,R,MCCABE,
2009,DISTRICT ATTORNEY,DANIEL MCCAFFERY,DANIEL,D,MCCAFFERY,
2003,DISTRICT COUNCIL,ROBERT MC CARTHY,ROBERT,,MCCARTHY,
2016,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOANNA MCCLINTON,JOANNA,E,MCCLINTON,
2008,STATE TREASURER,ROBERT MCCORD,ROBERT,M,MCCORD,
2003,COUNCIL AT LARGE,JAMIE MC DERMOTT,JAMIE,,MCDERMOTT,
2002,REPRESENTATIVE IN CONGRESS,JOHN P MC DERMOTT,JOHN,P,MCDERMOTT,
2002,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL P MC GEEHAN,MICHAEL,PATRICK,MCGEEHAN,
2006,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL PATRICK MC GEEHAN,MICHAEL,PATRICK,MCGEEHAN,
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MIKE MCGEEHAN,MICHAEL,PATRICK,MCGEEHAN,
2002,SENATOR IN THE GENERAL ASSEMBLY,JOHN P MC KELLIGOTT,JOHN,P,MCKELLIGOTT,
2003,DISTRICT COUNCIL,MATTHEW T MC KEON,MATTHEW,T,MCKEON,
2013,JUDGE OF THE TRAFFIC COURT,DANIEL MC QUADE,DANIEL,,MCQUADE,
2017,JUDGE OF THE COURT OF COMMON PLEAS,VINCENT MELCHIORRE,VINCENT,N,MELCHIORRE,
2012,REPRESENTATIVE IN THE GENERAL ASSEMBLY,J P MIRANDA,JOSE,P,MIRANDA,
2016,ATTORNEY GENERAL,JOHN MORGANELLI,JOHN,M,MORGANELLI,
2004,SENATOR IN THE GENERAL ASSEMBLY,JOHN H MORLEY JR,JOHN,H,MORLEY,JR
2008,SENATOR IN THE GENERAL ASSEMBLY,JACK MORLEY,JOHN,H,MORLEY,JR
2016,SENATOR IN THE GENERAL ASSEMBLY,JOHN H MORLEY JR,JOHN,H,MORLEY,JR
2006,SENATOR IN THE GENERAL ASSEMBLY,CHRISTROPHER MORRIS,CHRISTROPHER,,MORRIS,
2008,REPRESENTATIVE IN CONGRESS,MIKE MUHAMMAD,MICHAEL,C,MUHAMMAD,
2007,JUDGE OF THE COURT OF COMMON PLEAS,BEVERLY MULDROW,BEVERLY,N,MULDROW,
2009,JUDGE OF THE COURT OF COMMON PLEAS,BEVERLY MULDROW,BEVERLY,N,MULDROW,
2011,JUDGE OF THE COURT OF COMMON PLEAS,BEVERLY MULDROW,BEVERLY,N,MULDROW,
2012,ATTORNEY GENERAL,PATRICK MURPHY,PATRICK,J,MURPHY,
2003,JUDGE OF THE COURT OF COMMON PLEAS,THOMAS NOCELLA,THOMAS,M,NOCELLA,
2005,JUDGE OF THE COURT OF COMMON PLEAS,THOMAS NOCELLA,THOMAS,M,NOCELLA,
2005,JUDGE OF THE MUNICIPAL COURT,THOMAS NOCELLA,THOMAS,M,NOCELLA,
2007,MAYOR,MICHAEL NUTTER,MICHAEL,A,NUTTER,
2002,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DENNIS M O BRIEN,DENNIS,M,OBRIEN,
2004,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DENNIS M O BRIEN,DENNIS,M,OBRIEN,
2006,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DENNIS M O BRIEN,DENNIS,M,OBRIEN,
2008,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DENNIS M O BRIEN,DENNIS,M,OBRIEN,
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DENNIS M O BRIEN,DENNIS,M,OBRIEN,
2011,COUNCIL AT LARGE,DENNIS M O BRIEN,DENNIS,M,OBRIEN,
2015,COUNCIL AT LARGE,DENNIS M O BRIEN,DENNIS,M,OBRIEN,
2006,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL H O BRIEN,MICHAEL,H,OBRIEN,
2008,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL H O BRIEN,MICHAEL,H,OBRIEN,
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL H O BRIEN,MICHAEL,H,OBRIEN,
2012,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL H O BRIEN,MICHAEL,H,OBRIEN,
2014,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL H O BRIEN,MICHAEL,H,OBRIEN,
2018,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL H O BRIEN,MICHAEL,H,OBRIEN,
2013,JUDGE OF THE COURT OF COMMON PLEAS,JOHN J O CONNOR JR,JOHN,J,OCONNOR,JR
2003,COUNCIL AT LARGE,DAVID OH,DAVID,H,OH,
2007,COUNCIL AT LARGE,DAVID OH,DAVID,H,OH,
2015,COUNCIL AT LARGE,DAVID OH,DAVID,H,OH,
2019,COUNCIL AT LARGE,DAVID OH,DAVID,H,OH,
2007,JUDGE OF THE COURT OF COMMON PLEAS,J SCOTT O KEEFE,J,SCOTT,OKEEFE,
2013,JUDGE OF THE COURT OF COMMON PLEAS,J SCOTT O KEEFE,J,SCOTT,OKEEFE,
2002,REPRESENTATIVE IN THE GENERAL ASSEMBLY,FRANK L OLIVER,FRANK,L,OLIVER,SR
2004,REPRESENTATIVE IN THE GENERAL ASSEMBLY,FRANK OLIVER,FRANK,L,OLIVER,SR
2006,REPRESENTATIVE IN THE GENERAL ASSEMBLY,FRANK L OLIVER,FRANK,L,OLIVER,SR
2008,REPRESENTATIVE IN THE GENERAL ASSEMBLY,FRANK L OLIVER SR,FRANK,L,OLIVER,SR
2003,DISTRICT COUNCIL,BRIAN J O NEILL,BRIAN,J,ONEILL,
2007,DISTRICT COUNCIL,BRIAN J O NEILL,BRIAN,J,ONEILL,
2011,DISTRICT COUNCIL,BRIAN J O NEILL,BRIAN,J,ONEILL,
2015,DISTRICT COUNCIL,BRIAN J O NEILL,BRIAN,J,ONEILL,
2017,DISTRICT ATTORNEY,JOHN O NEILL,JOHN,,ONEILL,
2005,JUDGE OF THE COURT OF COMMON PLEAS,JOSEPH J O NEILL,JOSEPH,J,ONEILL,
2005,JUDGE OF THE MUNICIPAL COURT,JOSEPH J O NEILL,JOSEPH,J,ONEILL,
2007,JUDGE OF THE MUNICIPAL COURT,JOSEPH J O NEILL,JOSEPH,J,ONEILL,
2006,REPRESENTATIVE IN THE GENERAL ASSEMBLY,CHERELLE L PARKER,CHERELLE,LESLEY,PARKER,
2008,REPRESENTATIVE IN THE GENERAL ASSEMBLY,CHERELLE L PARKER,CHERELLE,LESLEY,PARKER,
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,CHERELLE L PARKER,CHERELLE,LESLEY,PARKER,
2014,REPRESENTATIVE IN THE GENERAL ASSEMBLY,CHERELLE L PARKER,CHERELLE,LESLEY,PARKER,
