year,election,office,candidate,first_name,middle_name,last_name,suffix
2007,general,DISTRICT COUNCIL,SEAN PATRICK MC ALEER,SEAN,PATRICK,MCALEER,
2007,general,DISTRICT COUNCIL,BRIAN J O NEILL,BRIAN,J,ONEILL,
2007,general,DISTRICT COUNCIL,ANNA C VERNA,ANNA,C,VERNA,
2007,general,DISTRICT COUNCIL,WILLIAM BLACK,WILLIAM,,BLACK,
2007,general,DISTRICT COUNCIL,JANNIE L BLACKWELL,JANNIE,L,BLACKWELL,
2007,general,DISTRICT COUNCIL,KEITH A HAIRSTON SR,KEITH,A,HAIRSTON,SR
2007,general,DISTRICT COUNCIL,CURTIS J JONES JR,CURTIS,J,JONES,JR
2007,general,DISTRICT COUNCIL,MELVIN C JOHNAKIN,MELVIN,C,JOHNAKIN,
2007,general,DISTRICT COUNCIL,DARRELL L CLARKE,DARRELL,L,CLARKE,
2007,general,DISTRICT COUNCIL,JOAN L KRAJEWSKI,JOAN,L,KRAJEWSKI,
2007,general,DISTRICT COUNCIL,MICHAEL EBSWORTH,MICHAEL,,EBSWORTH,
2007,general,DISTRICT COUNCIL,MARIA QUINONES SANCHEZ,MARIA,QUINONES,SANCHEZ,
2007,general,DISTRICT COUNCIL,LUIS A PINEDA,LUIS,A,PINEDA,
2007,general,DISTRICT COUNCIL,GARY GRISAFI,GARY,,GRISAFI,
2007,general,DISTRICT COUNCIL,DONNA REED MILLER,DONNA,REED,MILLER,
2007,general,DISTRICT COUNCIL,BRIAN RUDNICK,BRIAN,,RUDNICK,
2007,general,DISTRICT COUNCIL,JAMES FOSTER,JAMES,,FOSTER,
2007,general,DISTRICT COUNCIL,JESSE W BROWN JR,JESSE,W,BROWN,JR
2007,general,DISTRICT COUNCIL,MARIAN B TASCO,MARIAN,B,TASCO,
2007,general,JUDGE OF THE COURT OF COMMON PLEAS,ALICE BECK DUBOW,ALICE,BECK,DUBOW,
2007,general,JUDGE OF THE COURT OF COMMON PLEAS,ELLEN GREEN CEISLER,ELLEN,GREEN,CEISLER,
2007,general,JUDGE OF THE COURT OF COMMON PLEAS,LINDA CARPENTER,LINDA,,CARPENTER,
2007,general,JUDGE OF THE COURT OF COMMON PLEAS,MICHAEL ERDOS,MICHAEL,,ERDOS,
2007,general,JUDGE OF THE COURT OF COMMON PLEAS,JOYCE EUBANKS,JOYCE,,EUBANKS,
2007,general,JUDGE OF THE MUNICIPAL COURT,JACQUELYN FRAZIER LYDE,JACQUELYN,FRAZIER,LYDE,
2007,general,JUDGE OF THE MUNICIPAL COURT,JOSEPH J O NEILL,JOSEPH,J,ONEILL,
2007,general,JUDGE OF THE SUPERIOR COURT,CHRISTINE DONOHUE,CHRISTINE,,DONOHUE,
2007,general,JUDGE OF THE SUPERIOR COURT,JOHN YOUNGE,JOHN,MILTON,YOUNGE,
2007,general,JUDGE OF THE SUPERIOR COURT,RON FOLINO,RON,,FOLINO,
2007,general,JUDGE OF THE SUPERIOR COURT,BRUCE F BRATTON,BRUCE,F,BRATTON,
2007,general,JUDGE OF THE SUPERIOR COURT,CHERYL LYNN ALLEN,CHERYL,LYNN,ALLEN,
2007,general,JUDGE OF THE SUPERIOR COURT,JACKIE SHOGAN,JACKIE,,SHOGAN,
2007,general,JUDGE OF THE TRAFFIC COURT,MIKE LOWRY,MIKE,,LOWRY,
2007,general,JUDGE OF THE TRAFFIC COURT,ROBERT MULGREW,ROBERT,,MULGREW,
2007,general,JUDGE OF THE TRAFFIC COURT,WILLIE SINGLETARY,WILLIE,,SINGLETARY,
2007,general,JUDGE OF THE TRAFFIC COURT,BERNARD A STRAIN,BERNARD,A,STRAIN,
2007,general,JUDGE OF THE TRAFFIC COURT,FREDERICK C MARI JR,FREDERICK,C,MARI,JR
2007,general,JUDGE OF THE TRAFFIC COURT,SCOTT CUMMINGS,SCOTT,,CUMMINGS,
2007,general,JUSTICE OF THE SUPREME COURT,DEBRA TODD,DEBRA,,TODD,
2007,general,JUSTICE OF THE SUPREME COURT,SEAMUS MCCAFFERY,SEAMUS,,MCCAFFERY,
2007,general,JUSTICE OF THE SUPREME COURT,MAUREEN E LALLY GREEN,MAUREEN,E LALLY,GREEN,
2007,general,JUSTICE OF THE SUPREME COURT,MIKE KRANCER,MIKE,,KRANCER,
2007,general,MAYOR,MICHAEL NUTTER,MICHAEL,A,NUTTER,
2007,general,MAYOR,AL TAUBENBERGER,AL,,TAUBENBERGER,
2007,general,MAYOR,JOHN STAGGS,JOHN,,STAGGS,
2007,general,REGISTER OF WILLS,RONALD R DONATUCCI,RONALD,R,DONATUCCI,
2007,general,REGISTER OF WILLS,DAN SALVATORE,DAN,,SALVATORE,
2007,general,SHERIFF,JOHN D GREEN,JOHN,D,GREEN,
2007,general,SHERIFF,JACQUE WHAUMBUSH,JACQUE,P,WHAUMBUSH,
2007,primary,CITY COMMISSIONERS,ANTHONY CLARK,ANTHONY,,CLARK,
2007,primary,CITY COMMISSIONERS,B BLAIR TALMADGE,BLAIR,,TALMADGE,
2007,primary,CITY COMMISSIONERS,EDGAR HOWARD,EDGAR,A,HOWARD,JR
2007,primary,CITY COMMISSIONERS,MARGARET M TARTAGLIONE,MARGARET,M,TARTAGLIONE,
2007,primary,CITY COMMISSIONERS,JOSEPH J DUDA,JOSEPH,J,DUDA,
2007,primary,CITY COMMISSIONERS,PATRICK J CARROLL,PATRICK,JOHN,CARROLL,
2007,primary,CLERK OF COURTS,A ELAINE TOMLIN,A,ELAINE,TOMLIN,
2007,primary,CLERK OF COURTS,VIVIAN T MILLER,VIVIAN,T,MILLER,
2007,primary,CLERK OF COURTS,JOHN FEATHERMAN,JOHN,,FEATHERMAN,
2007,primary,COUNCIL AT LARGE,ANDREW TOY,ANDREW,,TOY,
2007,primary,COUNCIL AT LARGE,BENJAMIN RAMOS,BENJAMIN,,RAMOS,
2007,primary,COUNCIL AT LARGE,BILL GREEN,BILL,,GREEN,
2007,primary,COUNCIL AT LARGE,BLONDELL REYNOLDS BROWN,BLONDELL,REYNOLDS,BROWN,
2007,primary,COUNCIL AT LARGE,CARYN HUNT,CARYN,,HUNT,
2007,primary,COUNCIL AT LARGE,DEREK S GREEN,DEREK,S,GREEN,
2007,primary,COUNCIL AT LARGE,HARRY MASSELE,HARRY,,MASSELE,
2007,primary,COUNCIL AT LARGE,JAMES F KENNEY,JAMES,F,KENNEY,
2007,primary,COUNCIL AT LARGE,JUAN F RAMOS,JUAN,F,RAMOS,
2007,primary,COUNCIL AT LARGE,MACEO CUMMINGS,MACEO,,CUMMINGS,
2007,primary,COUNCIL AT LARGE,MARC STIER,MARC,,STIER,
2007,primary,COUNCIL AT LARGE,MATT RUBEN,MATT,,RUBEN,
2007,primary,COUNCIL AT LARGE,MICHAEL K ELLIS,MICHAEL,K,ELLIS,
